ASSET_ID,RELEASE_YEAR,MPAA_RATING,GENRE,IMDB_RATING,IMDB_RANKING,IMDB_VOTES,Oscar-Nomination,Oscar-Wins,Other - Nominations,Other - Wins,TOMATO_METER,TOMATO_RATING,TOMATO_REVIEWS,TOMATO_FRESH,TOMATO_ROTTEN,TOMATO_USER_METER,TOMATO_USER_RATINGS,TOMATO_USER_REVIEWS,TOMATO_IMAGE,BOX_OFFICE_EARNINGS
198188,2012,R,Comedy,5.4,49,"6,517",0,0,2,0,35,5.2,81,28,53,31,2.8,5221,rotten,"$300,000"
185314,2006,PG-13,"Drama, Romance, Sci-Fi",7.3,51,177959,0,0,30,10,51,5.9,196,100,96,74,3.4,260590,rotten,"$10,000,000"
193486,2000,PG,"Comedy, Family, Fantasy",6,46,126309,1,1,34,17,53,5.6,130,69,61,55,3.2,946710,rotten,"$259,000,000"
201698,2011,PG-13,"Adventure, Drama",6.2,55,"49,325",0,0,1,0,39,5.3,148,57,91,41,3.1,42200,rotten,"$19,500,000"
174418,2007,R,"Horror, Mystery, Thriller",5.7,42,"10,547",0,0,1,0,38,4.7,34,13,21,42,3,33659,rotten,"$1,300,000"
196676,2008,PG-13,"Action, Fantasy",6.4,49,302371,0,0,10,4,41,5.4,217,89,128,60,3.6,555748,rotten,"$227,900,000"
172307,2004,R,"Crime, Drama",7.5,87,"29,313",1,0,29,40,97,8,139,135,4,87,3.8,39399,certified,"$6,500,000"
200814,2011,R,"Comedy, Drama, Music",5.9,45,"5,363",0,0,1,1,29,4.6,66,19,47,39,3,7461,rotten,"$500,000"
181348,2003,R,"Comedy, Drama",7.7,83,133043,1,1,75,62,91,8.2,198,180,18,85,3.6,186984,certified,"$22,200,000"
195532,2008,PG-13,"Crime, Drama, Thriller",6.1,47,"38,211",0,0,1,0,45,5.5,160,72,88,39,3.1,138791,rotten,"$39,300,000"
181590,2006,R,"Drama, History",7,54,"37,100",0,0,15,7,46,5.6,169,78,91,73,3.6,44888,rotten,"$11,100,000"
190540,2010,PG-13,"Action, Comedy, Romance",5.5,22,"87,797",0,0,5,1,13,3.4,143,18,125,51,3.3,263724,rotten,"$56,000,000"
172790,2009,PG-13,"Drama, Horror, Mystery",6.4,43,"55,692",0,0,2,0,32,4.5,126,40,86,49,2.7,658851,rotten,"$28,600,000"
172882,1969,G,"Comedy, Musical, Romance",7.2,N/A,"9,132",3,3,13,1,44,6,18,8,10,76,3.5,21006,rotten,NULL
173873,1996,PG,"Comedy, Drama, Romance",6.4,N/A,"34,362",1,0,5,4,47,5.8,30,14,16,66,3.1,50297,rotten,NULL
174629,1966,N/A,Western,6.4,N/A,201,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
172415,1987,R,"Comedy, Drama, Romance",7.2,84,"19,718",7,0,11,18,98,8.1,41,40,1,78,3.6,10401,certified,NULL
174682,1955,PG,Mystery,7.2,N/A,"22,757",0,0,4,0,90,7.5,21,19,2,74,3.6,13346,fresh,NULL
186865,1979,N/A,Drama,6.7,N/A,101,0,0,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
172999,1999,R,"Action, Adventure, Drama",6.9,N/A,"3,051",0,0,0,0,N/A,N/A,N/A,N/A,N/A,79,3.5,5804,N/A,NULL
174289,1972,R,"Horror, Thriller",6.3,N/A,"1,288",0,0,0,0,N/A,N/A,N/A,N/A,N/A,52,3.2,126,N/A,NULL
180907,1984,NC-17,"Comedy, Crime",7.3,N/A,"5,106",0,0,0,0,79,6.6,19,15,4,86,4,7267,fresh,NULL
188073,1997,R,Drama,7.9,85,173066,3,0,38,36,92,8.1,65,60,5,89,3.6,187064,certified,NULL
171960,2001,PG,"Comedy, Family, Romance",4.1,34,"3,577",0,0,2,0,19,3.5,69,13,56,47,2.8,8312,rotten,NULL
175015,1956,N/A,"Crime, Drama",5.4,N/A,108,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,1.8,22,N/A,NULL
191025,1989,R,"Action, Crime, Drama",6.3,52,"26,472",0,0,3,0,17,4.2,12,2,10,50,3.1,15332,rotten,NULL
192098,2007,N/A,"Drama, Sci-Fi",4.7,N/A,211,0,0,0,0,N/A,N/A,N/A,N/A,N/A,35,2.5,123,N/A,NULL
186912,1998,N/A,Short,6.4,N/A,9,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
172031,1959,APPROVED,"Drama, War",4.3,N/A,83,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
173149,1981,R,"Action, Adventure, Drama",6.3,N/A,"5,893",0,0,0,0,71,6.3,14,10,4,54,3.2,5353,fresh,NULL
174154,1980,R,"Action, Drama, Romance",5,N/A,"3,445",0,0,0,0,33,4,6,2,4,31,2.9,5333,rotten,NULL
193391,1969,R,Drama,7.4,86,"69,255",2,0,10,10,88,7.9,43,38,5,83,3.7,57898,certified,NULL
202867,1999,R,"Animation, Comedy, Musical",7.8,73,149812,1,0,10,7,81,7,94,76,18,88,3.7,414321,certified,NULL
186132,2009,N/A,"Short, Drama",7.2,N/A,588,1,0,12,12,N/A,N/A,N/A,N/A,N/A,85,3.8,118,N/A,NULL
174218,1964,APPROVED,"Comedy, Romance",7,N/A,"2,693",2,0,5,1,0,4.1,5,0,5,68,3.7,471,rotten,NULL
172688,2007,R,"Crime, Drama",5.7,32,"8,081",0,0,2,2,19,3.9,48,9,39,38,3,8625,rotten,NULL
173276,1936,APPROVED,"Musical, Sport",6.3,N/A,428,0,0,0,0,N/A,N/A,N/A,N/A,N/A,42,3.3,281,N/A,NULL
196366,2010,N/A,Documentary,6.7,N/A,92,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3.6,12,N/A,NULL
172465,2005,PG,"Comedy, Family, Sport",4.5,N/A,"3,335",0,0,1,1,40,4.7,5,2,3,41,2.8,33610,rotten,NULL
198942,2006,R,Drama,5.5,47,907,0,0,0,0,11,4.1,38,4,34,27,2.7,1313,rotten,NULL
181762,1998,R,"Action, Crime, Drama",7.3,62,100254,0,0,6,2,N/A,N/A,N/A,N/A,N/A,100,3.5,40,N/A,NULL
172224,1987,UNRATED,"Action, Comedy, Fantasy",7.6,N/A,"6,324",0,0,10,7,75,7.8,8,6,2,86,3.9,6311,fresh,NULL
181023,2006,N/A,Short,6.6,N/A,118,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
197580,1989,R,"Action, Horror, Sci-Fi",5.1,N/A,"6,542",0,0,0,0,0,2.5,6,0,6,23,2.7,488,rotten,NULL
192066,2010,PG-13,Comedy,5.1,N/A,540,0,0,0,0,N/A,N/A,N/A,N/A,N/A,38,3,218,N/A,NULL
175046,1967,NOT RATED,Comedy,7,N/A,"1,442",0,0,1,0,71,6.4,7,5,2,68,3.8,248,fresh,NULL
173422,1966,APPROVED,Drama,6.5,N/A,"1,920",7,0,1,4,71,5.2,7,5,2,52,3.4,1494,fresh,NULL
